Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
inactive,2015-08-01 07:11:00,2015-08-01 00:11:00,2015-08-01 07:34:00,2015-08-01 00:34:00,36.6,0,81
light_activity,2015-08-01 07:34:00,2015-08-01 00:34:00,2015-08-01 07:44:00,2015-08-01 00:44:00,29.7,224,88
inactive,2015-08-01 07:44:00,2015-08-01 00:44:00,2015-08-01 08:15:00,2015-08-01 01:15:00,37.2,0,69
light_activity,2015-08-01 08:15:00,2015-08-01 01:15:00,2015-08-01 08:22:00,2015-08-01 01:22:00,27.7,258,88
inactive,2015-08-01 08:22:00,2015-08-01 01:22:00,2015-08-01 08:27:00,2015-08-01 01:27:00,5.2,0,67
inactive,2015-08-01 08:27:00,2015-08-01 01:27:00,2015-08-01 11:42:00,2015-08-01 04:42:00,180.2,0,58
off_wrist,2015-08-01 11:42:00,2015-08-01 04:42:00,2015-08-01 15:17:00,2015-08-01 08:17:00,90.2,0,
light_activity,2015-08-01 15:17:00,2015-08-01 08:17:00,2015-08-01 15:23:00,2015-08-01 08:23:00,13,77,90
inactive,2015-08-01 15:23:00,2015-08-01 08:23:00,2015-08-01 15:27:00,2015-08-01 08:27:00,5.5,0,88
light_activity,2015-08-01 15:27:00,2015-08-01 08:27:00,2015-08-01 15:38:00,2015-08-01 08:38:00,32.9,204,97
moderate_activity,2015-08-01 15:38:00,2015-08-01 08:38:00,2015-08-01 15:54:00,2015-08-01 08:54:00,94.2,386,103
inactive,2015-08-01 15:54:00,2015-08-01 08:54:00,2015-08-01 16:03:00,2015-08-01 09:03:00,11.4,0,86
light_activity,2015-08-01 16:03:00,2015-08-01 09:03:00,2015-08-01 16:06:00,2015-08-01 09:06:00,16.9,199,98
inactive,2015-08-01 16:06:00,2015-08-01 09:06:00,2015-08-01 16:23:00,2015-08-01 09:23:00,21.7,0,79
light_activity,2015-08-01 16:23:00,2015-08-01 09:23:00,2015-08-01 16:26:00,2015-08-01 09:26:00,11.8,120,92
inactive,2015-08-01 16:26:00,2015-08-01 09:26:00,2015-08-01 16:31:00,2015-08-01 09:31:00,6.8,0,75
light_activity,2015-08-01 16:31:00,2015-08-01 09:31:00,2015-08-01 16:32:00,2015-08-01 09:32:00,2.4,16,80
inactive,2015-08-01 16:32:00,2015-08-01 09:32:00,2015-08-01 17:19:00,2015-08-01 10:19:00,60,0,80
light_activity,2015-08-01 17:19:00,2015-08-01 10:19:00,2015-08-01 17:37:00,2015-08-01 10:37:00,88.9,811,105
inactive,2015-08-01 17:37:00,2015-08-01 10:37:00,2015-08-01 17:48:00,2015-08-01 10:48:00,14.2,0,78
light_activity,2015-08-01 17:48:00,2015-08-01 10:48:00,2015-08-01 17:49:00,2015-08-01 10:49:00,1.8,6,83
inactive,2015-08-01 17:49:00,2015-08-01 10:49:00,2015-08-01 17:55:00,2015-08-01 10:55:00,8.2,0,80
light_activity,2015-08-01 17:55:00,2015-08-01 10:55:00,2015-08-01 17:56:00,2015-08-01 10:56:00,1.6,7,83
