Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
inactive,2015-12-01 08:36:00,2015-12-01 00:36:00,2015-12-01 08:55:00,2015-12-01 00:55:00,25.2,0,69
inactive,2015-12-01 08:55:00,2015-12-01 00:55:00,2015-12-01 10:11:00,2015-12-01 02:11:00,75.2,0,62
light_activity,2015-12-01 10:11:00,2015-12-01 02:11:00,2015-12-01 10:16:00,2015-12-01 02:16:00,10.3,49,83
inactive,2015-12-01 10:16:00,2015-12-01 02:16:00,2015-12-01 11:38:00,2015-12-01 06:38:00,105.2,0,66
light_activity,2015-12-01 11:38:00,2015-12-01 06:38:00,2015-12-01 11:39:00,2015-12-01 06:39:00,2.7,15,78
inactive,2015-12-01 11:39:00,2015-12-01 06:39:00,2015-12-01 11:46:00,2015-12-01 06:46:00,7.6,0,73
light_activity,2015-12-01 11:46:00,2015-12-01 06:46:00,2015-12-01 11:50:00,2015-12-01 06:50:00,28.4,351,100
inactive,2015-12-01 11:50:00,2015-12-01 06:50:00,2015-12-01 11:53:00,2015-12-01 06:53:00,4.4,0,74
light_activity,2015-12-01 11:53:00,2015-12-01 06:53:00,2015-12-01 12:06:00,2015-12-01 07:06:00,63.3,467,98
inactive,2015-12-01 12:06:00,2015-12-01 07:06:00,2015-12-01 12:42:00,2015-12-01 07:42:00,51.3,0,64
light_activity,2015-12-01 12:42:00,2015-12-01 07:42:00,2015-12-01 13:04:00,2015-12-01 08:04:00,48.2,311,84
inactive,2015-12-01 13:04:00,2015-12-01 08:04:00,2015-12-01 13:14:00,2015-12-01 08:14:00,12.8,0,68
light_activity,2015-12-01 13:14:00,2015-12-01 08:14:00,2015-12-01 13:17:00,2015-12-01 08:17:00,5.8,28,78
inactive,2015-12-01 13:17:00,2015-12-01 08:17:00,2015-12-01 13:52:00,2015-12-01 08:52:00,43,0,68
light_activity,2015-12-01 13:52:00,2015-12-01 08:52:00,2015-12-01 13:56:00,2015-12-01 08:56:00,16.5,109,99
inactive,2015-12-01 13:56:00,2015-12-01 08:56:00,2015-12-01 14:45:00,2015-12-01 09:45:00,53.9,0,64
light_activity,2015-12-01 14:45:00,2015-12-01 09:45:00,2015-12-01 14:46:00,2015-12-01 09:46:00,3.2,0,109
inactive,2015-12-01 14:46:00,2015-12-01 09:46:00,2015-12-01 14:52:00,2015-12-01 09:52:00,6.6,0,72
light_activity,2015-12-01 14:52:00,2015-12-01 09:52:00,2015-12-01 14:53:00,2015-12-01 09:53:00,1.8,7,64
inactive,2015-12-01 14:53:00,2015-12-01 09:53:00,2015-12-01 15:19:00,2015-12-01 10:19:00,27.5,0,62
light_activity,2015-12-01 15:19:00,2015-12-01 10:19:00,2015-12-01 15:22:00,2015-12-01 10:22:00,10.4,87,94
inactive,2015-12-01 15:22:00,2015-12-01 10:22:00,2015-12-01 15:28:00,2015-12-01 10:28:00,8.5,0,71
light_activity,2015-12-01 15:28:00,2015-12-01 10:28:00,2015-12-01 15:29:00,2015-12-01 10:29:00,1.6,12,89
inactive,2015-12-01 15:29:00,2015-12-01 10:29:00,2015-12-01 15:53:00,2015-12-01 10:53:00,28.3,0,69
light_activity,2015-12-01 15:53:00,2015-12-01 10:53:00,2015-12-01 15:54:00,2015-12-01 10:54:00,2.6,11,78
inactive,2015-12-01 15:54:00,2015-12-01 10:54:00,2015-12-01 15:57:00,2015-12-01 10:57:00,3.6,0,80
light_activity,2015-12-01 15:57:00,2015-12-01 10:57:00,2015-12-01 15:58:00,2015-12-01 10:58:00,2.1,7,87
inactive,2015-12-01 15:58:00,2015-12-01 10:58:00,2015-12-01 16:35:00,2015-12-01 11:35:00,43.5,0,64
light_activity,2015-12-01 16:35:00,2015-12-01 11:35:00,2015-12-01 16:36:00,2015-12-01 11:36:00,1.3,8,62
inactive,2015-12-01 16:36:00,2015-12-01 11:36:00,2015-12-01 16:42:00,2015-12-01 11:42:00,6.9,0,71
light_activity,2015-12-01 16:42:00,2015-12-01 11:42:00,2015-12-01 16:44:00,2015-12-01 11:44:00,3.1,16,96
inactive,2015-12-01 16:44:00,2015-12-01 11:44:00,2015-12-01 16:54:00,2015-12-01 11:54:00,12.6,0,85
light_activity,2015-12-01 16:54:00,2015-12-01 11:54:00,2015-12-01 16:55:00,2015-12-01 11:55:00,3.9,0,114
inactive,2015-12-01 16:55:00,2015-12-01 11:55:00,2015-12-01 17:13:00,2015-12-01 12:13:00,20.2,0,62
light_activity,2015-12-01 17:13:00,2015-12-01 12:13:00,2015-12-01 17:24:00,2015-12-01 12:24:00,36.6,387,78
inactive,2015-12-01 17:24:00,2015-12-01 12:24:00,2015-12-01 17:34:00,2015-12-01 12:34:00,15,0,85
light_activity,2015-12-01 17:34:00,2015-12-01 12:34:00,2015-12-01 17:35:00,2015-12-01 12:35:00,2.2,8,79
inactive,2015-12-01 17:35:00,2015-12-01 12:35:00,2015-12-01 17:45:00,2015-12-01 12:45:00,15.1,0,86
light_activity,2015-12-01 17:45:00,2015-12-01 12:45:00,2015-12-01 18:01:00,2015-12-01 13:01:00,80.3,555,96
inactive,2015-12-01 18:01:00,2015-12-01 13:01:00,2015-12-01 18:35:00,2015-12-01 13:35:00,40.9,0,75
light_activity,2015-12-01 18:35:00,2015-12-01 13:35:00,2015-12-01 18:42:00,2015-12-01 13:42:00,17.8,125,88
inactive,2015-12-01 18:42:00,2015-12-01 13:42:00,2015-12-01 19:00:00,2015-12-01 14:00:00,22,0,78
light_activity,2015-12-01 19:00:00,2015-12-01 14:00:00,2015-12-01 19:03:00,2015-12-01 14:03:00,9.8,42,101
inactive,2015-12-01 19:03:00,2015-12-01 14:03:00,2015-12-01 19:25:00,2015-12-01 14:25:00,36.1,0,100
light_activity,2015-12-01 19:25:00,2015-12-01 14:25:00,2015-12-01 19:27:00,2015-12-01 14:27:00,4.9,34,93
inactive,2015-12-01 19:27:00,2015-12-01 14:27:00,2015-12-01 19:30:00,2015-12-01 14:30:00,4.2,0,76
