Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
light_activity,2016-04-01 17:16:00,2016-04-01 13:16:00,2016-04-01 17:24:00,2016-04-01 13:24:00,30.5,352,104
inactive,2016-04-01 17:24:00,2016-04-01 13:24:00,2016-04-01 17:27:00,2016-04-01 13:27:00,3.3,0,77
light_activity,2016-04-01 17:27:00,2016-04-01 13:27:00,2016-04-01 17:28:00,2016-04-01 13:28:00,3.6,0,104
inactive,2016-04-01 17:28:00,2016-04-01 13:28:00,2016-04-01 17:32:00,2016-04-01 13:32:00,6.1,0,90
light_activity,2016-04-01 17:32:00,2016-04-01 13:32:00,2016-04-01 17:39:00,2016-04-01 13:39:00,17.7,148,100
inactive,2016-04-01 17:39:00,2016-04-01 13:39:00,2016-04-01 18:41:00,2016-04-01 14:41:00,77.1,0,84
light_activity,2016-04-01 18:41:00,2016-04-01 14:41:00,2016-04-01 18:42:00,2016-04-01 14:42:00,1.5,9,93
moderate_activity,2016-04-01 18:42:00,2016-04-01 14:42:00,2016-04-01 18:52:00,2016-04-01 14:52:00,64.2,758,118
light_activity,2016-04-01 18:52:00,2016-04-01 14:52:00,2016-04-01 18:58:00,2016-04-01 14:58:00,9.5,102,87
inactive,2016-04-01 18:58:00,2016-04-01 14:58:00,2016-04-01 19:01:00,2016-04-01 15:01:00,4.7,0,94
light_activity,2016-04-01 19:01:00,2016-04-01 15:01:00,2016-04-01 19:07:00,2016-04-01 15:07:00,13.8,153,96
inactive,2016-04-01 19:07:00,2016-04-01 15:07:00,2016-04-01 19:13:00,2016-04-01 15:13:00,7.8,0,81
light_activity,2016-04-01 19:13:00,2016-04-01 15:13:00,2016-04-01 19:14:00,2016-04-01 15:14:00,2.7,0,108
inactive,2016-04-01 19:14:00,2016-04-01 15:14:00,2016-04-01 20:08:00,2016-04-01 16:08:00,61.1,0,77
light_activity,2016-04-01 20:08:00,2016-04-01 16:08:00,2016-04-01 20:09:00,2016-04-01 16:09:00,1.3,13,84
