Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
light_activity,2016-08-01 04:06:00,2016-08-01 00:06:00,2016-08-01 04:07:00,2016-08-01 00:07:00,1.2,24,68
inactive,2016-08-01 04:07:00,2016-08-01 00:07:00,2016-08-01 07:43:00,2016-08-01 03:43:00,231.8,0,62
off_wrist,2016-08-01 07:43:00,2016-08-01 03:43:00,2016-08-01 07:44:00,2016-08-01 03:44:00,1.1,0,
inactive,2016-08-01 07:44:00,2016-08-01 03:44:00,2016-08-01 09:54:00,2016-08-01 05:54:00,139.6,0,67
light_activity,2016-08-01 09:54:00,2016-08-01 05:54:00,2016-08-01 09:55:00,2016-08-01 05:55:00,1.1,8,64
inactive,2016-08-01 09:55:00,2016-08-01 05:55:00,2016-08-01 10:34:00,2016-08-01 06:34:00,41.9,0,61
light_activity,2016-08-01 10:34:00,2016-08-01 06:34:00,2016-08-01 10:35:00,2016-08-01 06:35:00,1,8,73
inactive,2016-08-01 10:35:00,2016-08-01 06:35:00,2016-08-01 11:07:00,2016-08-01 07:07:00,34.8,0,64
light_activity,2016-08-01 11:07:00,2016-08-01 07:07:00,2016-08-01 11:10:00,2016-08-01 07:10:00,3.8,37,72
off_wrist,2016-08-01 11:10:00,2016-08-01 07:10:00,2016-08-01 11:39:00,2016-08-01 07:39:00,31.1,0,
light_activity,2016-08-01 11:39:00,2016-08-01 07:39:00,2016-08-01 11:46:00,2016-08-01 07:46:00,29.6,384,110
inactive,2016-08-01 11:46:00,2016-08-01 07:46:00,2016-08-01 11:49:00,2016-08-01 07:49:00,6,0,96
light_activity,2016-08-01 11:49:00,2016-08-01 07:49:00,2016-08-01 11:53:00,2016-08-01 07:53:00,13.4,123,100
inactive,2016-08-01 11:53:00,2016-08-01 07:53:00,2016-08-01 12:12:00,2016-08-01 08:12:00,27.7,0,84
light_activity,2016-08-01 12:12:00,2016-08-01 08:12:00,2016-08-01 12:22:00,2016-08-01 08:22:00,22.8,76,93
inactive,2016-08-01 12:22:00,2016-08-01 08:22:00,2016-08-01 12:31:00,2016-08-01 08:31:00,10.9,0,80
light_activity,2016-08-01 12:31:00,2016-08-01 08:31:00,2016-08-01 12:38:00,2016-08-01 08:38:00,11.4,44,85
inactive,2016-08-01 12:38:00,2016-08-01 08:38:00,2016-08-01 12:41:00,2016-08-01 08:41:00,5.7,0,91
light_activity,2016-08-01 12:41:00,2016-08-01 08:41:00,2016-08-01 13:06:00,2016-08-01 09:06:00,88.5,70,104
inactive,2016-08-01 13:06:00,2016-08-01 09:06:00,2016-08-01 13:09:00,2016-08-01 09:09:00,6.3,0,92
light_activity,2016-08-01 13:09:00,2016-08-01 09:09:00,2016-08-01 13:51:00,2016-08-01 09:51:00,171.4,54,106
inactive,2016-08-01 13:51:00,2016-08-01 09:51:00,2016-08-01 13:55:00,2016-08-01 09:55:00,6,0,83
light_activity,2016-08-01 13:55:00,2016-08-01 09:55:00,2016-08-01 13:57:00,2016-08-01 09:57:00,8.8,0,108
inactive,2016-08-01 13:57:00,2016-08-01 09:57:00,2016-08-01 14:24:00,2016-08-01 10:24:00,32.8,0,68
light_activity,2016-08-01 14:24:00,2016-08-01 10:24:00,2016-08-01 14:27:00,2016-08-01 10:27:00,17.1,0,113
inactive,2016-08-01 14:27:00,2016-08-01 10:27:00,2016-08-01 14:31:00,2016-08-01 10:31:00,4.9,0,67
light_activity,2016-08-01 14:31:00,2016-08-01 10:31:00,2016-08-01 14:36:00,2016-08-01 10:36:00,8.8,145,84
inactive,2016-08-01 14:36:00,2016-08-01 10:36:00,2016-08-01 14:49:00,2016-08-01 10:49:00,17,0,80
light_activity,2016-08-01 14:49:00,2016-08-01 10:49:00,2016-08-01 15:09:00,2016-08-01 11:09:00,85,61,106
inactive,2016-08-01 15:09:00,2016-08-01 11:09:00,2016-08-01 15:17:00,2016-08-01 11:17:00,9.9,0,69
light_activity,2016-08-01 15:17:00,2016-08-01 11:17:00,2016-08-01 15:23:00,2016-08-01 11:23:00,22.1,0,103
inactive,2016-08-01 15:23:00,2016-08-01 11:23:00,2016-08-01 15:26:00,2016-08-01 11:26:00,5.6,0,96
light_activity,2016-08-01 15:26:00,2016-08-01 11:26:00,2016-08-01 15:30:00,2016-08-01 11:30:00,11,0,96
inactive,2016-08-01 15:30:00,2016-08-01 11:30:00,2016-08-01 15:34:00,2016-08-01 11:34:00,4.6,0,67
light_activity,2016-08-01 15:34:00,2016-08-01 11:34:00,2016-08-01 15:36:00,2016-08-01 11:36:00,11.2,0,116
inactive,2016-08-01 15:36:00,2016-08-01 11:36:00,2016-08-01 15:39:00,2016-08-01 11:39:00,3.8,0,63
light_activity,2016-08-01 15:39:00,2016-08-01 11:39:00,2016-08-01 15:40:00,2016-08-01 11:40:00,1.1,7,69
inactive,2016-08-01 15:40:00,2016-08-01 11:40:00,2016-08-01 15:43:00,2016-08-01 11:43:00,4.7,0,84
light_activity,2016-08-01 15:43:00,2016-08-01 11:43:00,2016-08-01 15:45:00,2016-08-01 11:45:00,9.4,0,110
inactive,2016-08-01 15:45:00,2016-08-01 11:45:00,2016-08-01 15:54:00,2016-08-01 11:54:00,10.7,0,63
light_activity,2016-08-01 15:54:00,2016-08-01 11:54:00,2016-08-01 16:00:00,2016-08-01 12:00:00,20.7,27,101
inactive,2016-08-01 16:00:00,2016-08-01 12:00:00,2016-08-01 16:04:00,2016-08-01 12:04:00,5.3,0,79
light_activity,2016-08-01 16:04:00,2016-08-01 12:04:00,2016-08-01 16:12:00,2016-08-01 12:12:00,23.4,265,99
