Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
light_activity,2016-12-01 09:08:00,2016-12-01 01:08:00,2016-12-01 09:09:00,2016-12-01 01:09:00,1.1,10,92
inactive,2016-12-01 09:09:00,2016-12-01 01:09:00,2016-12-01 09:12:00,2016-12-01 01:12:00,3.2,0,84
light_activity,2016-12-01 09:12:00,2016-12-01 01:12:00,2016-12-01 09:13:00,2016-12-01 01:13:00,1.5,12,87
inactive,2016-12-01 09:13:00,2016-12-01 01:13:00,2016-12-01 10:01:00,2016-12-01 02:01:00,54.2,0,78
light_activity,2016-12-01 10:01:00,2016-12-01 02:01:00,2016-12-01 10:02:00,2016-12-01 02:02:00,1.3,11,78
inactive,2016-12-01 10:02:00,2016-12-01 02:02:00,2016-12-01 10:25:00,2016-12-01 02:25:00,25,0,75
light_activity,2016-12-01 10:25:00,2016-12-01 02:25:00,2016-12-01 10:26:00,2016-12-01 02:26:00,2.2,14,94
inactive,2016-12-01 10:26:00,2016-12-01 02:26:00,2016-12-01 10:35:00,2016-12-01 02:35:00,12.2,0,81
light_activity,2016-12-01 10:35:00,2016-12-01 02:35:00,2016-12-01 10:39:00,2016-12-01 02:39:00,12.9,8,105
inactive,2016-12-01 10:39:00,2016-12-01 02:39:00,2016-12-01 10:47:00,2016-12-01 02:47:00,8.6,0,71
light_activity,2016-12-01 10:47:00,2016-12-01 02:47:00,2016-12-01 10:48:00,2016-12-01 02:48:00,1,11,71
inactive,2016-12-01 10:48:00,2016-12-01 02:48:00,2016-12-01 11:00:00,2016-12-01 03:00:00,12.9,0,71
light_activity,2016-12-01 11:00:00,2016-12-01 03:00:00,2016-12-01 11:03:00,2016-12-01 03:03:00,3.8,97,78
inactive,2016-12-01 11:03:00,2016-12-01 03:03:00,2016-12-01 11:19:00,2016-12-01 03:19:00,18.7,0,71
light_activity,2016-12-01 11:19:00,2016-12-01 03:19:00,2016-12-01 11:20:00,2016-12-01 03:20:00,4.6,0,107
inactive,2016-12-01 11:20:00,2016-12-01 03:20:00,2016-12-01 14:18:00,2016-12-01 06:18:00,190.7,0,66
light_activity,2016-12-01 14:18:00,2016-12-01 06:18:00,2016-12-01 15:11:00,2016-12-01 07:11:00,158.2,1206,100
inactive,2016-12-01 15:11:00,2016-12-01 07:11:00,2016-12-01 15:15:00,2016-12-01 07:15:00,4.9,0,87
