Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
light_activity,2015-11-01 09:49:00,2015-11-01 01:49:00,2015-11-01 09:54:00,2015-11-01 01:54:00,14.1,131,79
inactive,2015-11-01 09:54:00,2015-11-01 01:54:00,2015-11-01 10:31:00,2015-11-01 02:31:00,38,0,69
inactive,2015-11-01 10:31:00,2015-11-01 02:31:00,2015-11-01 13:59:00,2015-11-01 05:59:00,196.4,0,60
light_activity,2015-11-01 13:59:00,2015-11-01 05:59:00,2015-11-01 14:00:00,2015-11-01 06:00:00,1.5,6,60
inactive,2015-11-01 14:00:00,2015-11-01 06:00:00,2015-11-01 15:14:00,2015-11-01 07:14:00,82.9,0,71
light_activity,2015-11-01 15:14:00,2015-11-01 07:14:00,2015-11-01 15:17:00,2015-11-01 07:17:00,8.7,77,83
inactive,2015-11-01 15:17:00,2015-11-01 07:17:00,2015-11-01 15:32:00,2015-11-01 07:32:00,17,0,80
light_activity,2015-11-01 15:32:00,2015-11-01 07:32:00,2015-11-01 15:33:00,2015-11-01 07:33:00,3.3,23,74
inactive,2015-11-01 15:33:00,2015-11-01 07:33:00,2015-11-01 15:37:00,2015-11-01 07:37:00,6.6,0,84
light_activity,2015-11-01 15:37:00,2015-11-01 07:37:00,2015-11-01 15:42:00,2015-11-01 07:42:00,21.9,219,85
off_wrist,2015-11-01 15:42:00,2015-11-01 07:42:00,2015-11-01 16:00:00,2015-11-01 08:00:00,16.5,0,
light_activity,2015-11-01 16:00:00,2015-11-01 08:00:00,2015-11-01 16:19:00,2015-11-01 08:19:00,85.6,397,102
inactive,2015-11-01 16:19:00,2015-11-01 08:19:00,2015-11-01 16:24:00,2015-11-01 08:24:00,9.3,0,104
light_activity,2015-11-01 16:24:00,2015-11-01 08:24:00,2015-11-01 16:33:00,2015-11-01 08:33:00,53.4,377,109
inactive,2015-11-01 16:33:00,2015-11-01 08:33:00,2015-11-01 16:50:00,2015-11-01 08:50:00,24.3,0,77
light_activity,2015-11-01 16:50:00,2015-11-01 08:50:00,2015-11-01 16:51:00,2015-11-01 08:51:00,1.7,8,86
inactive,2015-11-01 16:51:00,2015-11-01 08:51:00,2015-11-01 17:09:00,2015-11-01 09:09:00,25.1,0,73
light_activity,2015-11-01 17:09:00,2015-11-01 09:09:00,2015-11-01 17:15:00,2015-11-01 09:15:00,27.3,263,98
inactive,2015-11-01 17:15:00,2015-11-01 09:15:00,2015-11-01 17:28:00,2015-11-01 09:28:00,17.8,0,80
light_activity,2015-11-01 17:28:00,2015-11-01 09:28:00,2015-11-01 17:29:00,2015-11-01 09:29:00,2.6,11,99
inactive,2015-11-01 17:29:00,2015-11-01 09:29:00,2015-11-01 17:32:00,2015-11-01 09:32:00,5.1,0,100
light_activity,2015-11-01 17:32:00,2015-11-01 09:32:00,2015-11-01 17:37:00,2015-11-01 09:37:00,29.1,160,112
inactive,2015-11-01 17:37:00,2015-11-01 09:37:00,2015-11-01 17:42:00,2015-11-01 09:42:00,7.6,0,89
light_activity,2015-11-01 17:42:00,2015-11-01 09:42:00,2015-11-01 17:43:00,2015-11-01 09:43:00,5.7,0,116
inactive,2015-11-01 17:43:00,2015-11-01 09:43:00,2015-11-01 17:54:00,2015-11-01 09:54:00,16.8,0,91
light_activity,2015-11-01 17:54:00,2015-11-01 09:54:00,2015-11-01 17:57:00,2015-11-01 09:57:00,13.9,9,114
inactive,2015-11-01 17:57:00,2015-11-01 09:57:00,2015-11-01 18:04:00,2015-11-01 10:04:00,11.4,0,99
light_activity,2015-11-01 18:04:00,2015-11-01 10:04:00,2015-11-01 18:09:00,2015-11-01 10:09:00,20.3,19,111
inactive,2015-11-01 18:09:00,2015-11-01 10:09:00,2015-11-01 18:14:00,2015-11-01 10:14:00,7.1,0,79
light_activity,2015-11-01 18:14:00,2015-11-01 10:14:00,2015-11-01 18:15:00,2015-11-01 10:15:00,1.6,10,54
inactive,2015-11-01 18:15:00,2015-11-01 10:15:00,2015-11-01 18:29:00,2015-11-01 10:29:00,17.2,0,65
light_activity,2015-11-01 18:29:00,2015-11-01 10:29:00,2015-11-01 18:30:00,2015-11-01 10:30:00,2.7,0,108
inactive,2015-11-01 18:30:00,2015-11-01 10:30:00,2015-11-01 18:42:00,2015-11-01 10:42:00,15,0,71
light_activity,2015-11-01 18:42:00,2015-11-01 10:42:00,2015-11-01 18:46:00,2015-11-01 10:46:00,17.8,207,92
inactive,2015-11-01 18:46:00,2015-11-01 10:46:00,2015-11-01 18:50:00,2015-11-01 10:50:00,6.5,0,98
light_activity,2015-11-01 18:50:00,2015-11-01 10:50:00,2015-11-01 18:53:00,2015-11-01 10:53:00,10.5,103,89
inactive,2015-11-01 18:53:00,2015-11-01 10:53:00,2015-11-01 19:02:00,2015-11-01 11:02:00,12.8,0,74
light_activity,2015-11-01 19:02:00,2015-11-01 11:02:00,2015-11-01 19:03:00,2015-11-01 11:03:00,2,7,93
inactive,2015-11-01 19:03:00,2015-11-01 11:03:00,2015-11-01 19:17:00,2015-11-01 11:17:00,20.8,0,84
light_activity,2015-11-01 19:17:00,2015-11-01 11:17:00,2015-11-01 19:36:00,2015-11-01 11:36:00,96.8,843,103
inactive,2015-11-01 19:36:00,2015-11-01 11:36:00,2015-11-01 19:54:00,2015-11-01 11:54:00,27.9,0,82
light_activity,2015-11-01 19:54:00,2015-11-01 11:54:00,2015-11-01 19:57:00,2015-11-01 11:57:00,14.3,0,116
inactive,2015-11-01 19:57:00,2015-11-01 11:57:00,2015-11-01 20:02:00,2015-11-01 12:02:00,8.7,0,97
light_activity,2015-11-01 20:02:00,2015-11-01 12:02:00,2015-11-01 20:06:00,2015-11-01 12:06:00,21.2,16,115
inactive,2015-11-01 20:06:00,2015-11-01 12:06:00,2015-11-01 20:12:00,2015-11-01 12:12:00,9.5,0,90
light_activity,2015-11-01 20:12:00,2015-11-01 12:12:00,2015-11-01 20:14:00,2015-11-01 12:14:00,6.8,0,104
inactive,2015-11-01 20:14:00,2015-11-01 12:14:00,2015-11-01 20:18:00,2015-11-01 12:18:00,5.6,0,78
light_activity,2015-11-01 20:18:00,2015-11-01 12:18:00,2015-11-01 20:19:00,2015-11-01 12:19:00,3.6,0,110
inactive,2015-11-01 20:19:00,2015-11-01 12:19:00,2015-11-01 20:25:00,2015-11-01 12:25:00,9,0,89
light_activity,2015-11-01 20:25:00,2015-11-01 12:25:00,2015-11-01 20:27:00,2015-11-01 12:27:00,7.6,0,113
inactive,2015-11-01 20:27:00,2015-11-01 12:27:00,2015-11-01 20:34:00,2015-11-01 12:34:00,8.8,0,84
light_activity,2015-11-01 20:34:00,2015-11-01 12:34:00,2015-11-01 20:35:00,2015-11-01 12:35:00,2.3,8,85
inactive,2015-11-01 20:35:00,2015-11-01 12:35:00,2015-11-01 20:45:00,2015-11-01 12:45:00,14.4,0,88
light_activity,2015-11-01 20:45:00,2015-11-01 12:45:00,2015-11-01 21:03:00,2015-11-01 13:03:00,77.4,376,103
inactive,2015-11-01 21:03:00,2015-11-01 13:03:00,2015-11-01 21:07:00,2015-11-01 13:07:00,6.9,0,82
light_activity,2015-11-01 21:07:00,2015-11-01 13:07:00,2015-11-01 21:18:00,2015-11-01 13:18:00,39.8,313,94
inactive,2015-11-01 21:18:00,2015-11-01 13:18:00,2015-11-01 21:26:00,2015-11-01 13:26:00,13.8,0,90
light_activity,2015-11-01 21:26:00,2015-11-01 13:26:00,2015-11-01 21:51:00,2015-11-01 13:51:00,89.9,812,87
inactive,2015-11-01 21:51:00,2015-11-01 13:51:00,2015-11-01 21:57:00,2015-11-01 13:57:00,8.8,0,90
light_activity,2015-11-01 21:57:00,2015-11-01 13:57:00,2015-11-01 21:58:00,2015-11-01 13:58:00,2.2,14,87
inactive,2015-11-01 21:58:00,2015-11-01 13:58:00,2015-11-01 22:02:00,2015-11-01 14:02:00,5.8,0,81
