Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
inactive,2016-01-01 05:03:00,2016-01-01 00:03:00,2016-01-01 05:12:00,2016-01-01 00:12:00,14.7,0,85
light_activity,2016-01-01 05:12:00,2016-01-01 00:12:00,2016-01-01 05:21:00,2016-01-01 00:21:00,26.5,227,95
inactive,2016-01-01 05:21:00,2016-01-01 00:21:00,2016-01-01 05:27:00,2016-01-01 00:27:00,6.7,0,68
light_activity,2016-01-01 05:27:00,2016-01-01 00:27:00,2016-01-01 05:28:00,2016-01-01 00:28:00,2,19,88
inactive,2016-01-01 05:28:00,2016-01-01 00:28:00,2016-01-01 10:39:00,2016-01-01 05:39:00,331.1,0,64
light_activity,2016-01-01 10:39:00,2016-01-01 05:39:00,2016-01-01 10:43:00,2016-01-01 05:43:00,6.4,88,82
inactive,2016-01-01 10:43:00,2016-01-01 05:43:00,2016-01-01 14:41:00,2016-01-01 09:41:00,256,0,60
light_activity,2016-01-01 14:41:00,2016-01-01 09:41:00,2016-01-01 14:57:00,2016-01-01 09:57:00,43.9,281,93
off_wrist,2016-01-01 14:57:00,2016-01-01 09:57:00,2016-01-01 14:59:00,2016-01-01 09:59:00,2.1,0,
light_activity,2016-01-01 14:59:00,2016-01-01 09:59:00,2016-01-01 15:01:00,2016-01-01 10:01:00,7.1,0,107
off_wrist,2016-01-01 15:01:00,2016-01-01 10:01:00,2016-01-01 15:02:00,2016-01-01 10:02:00,1.1,0,
light_activity,2016-01-01 15:02:00,2016-01-01 10:02:00,2016-01-01 15:06:00,2016-01-01 10:06:00,18,10,115
off_wrist,2016-01-01 15:06:00,2016-01-01 10:06:00,2016-01-01 15:07:00,2016-01-01 10:07:00,0.8,0,
light_activity,2016-01-01 15:07:00,2016-01-01 10:07:00,2016-01-01 15:18:00,2016-01-01 10:18:00,43.1,193,114
off_wrist,2016-01-01 15:18:00,2016-01-01 10:18:00,2016-01-01 15:55:00,2016-01-01 10:55:00,39.4,0,
light_activity,2016-01-01 15:55:00,2016-01-01 10:55:00,2016-01-01 15:59:00,2016-01-01 10:59:00,17.2,36,104
inactive,2016-01-01 15:59:00,2016-01-01 10:59:00,2016-01-01 16:02:00,2016-01-01 11:02:00,5,0,87
light_activity,2016-01-01 16:02:00,2016-01-01 11:02:00,2016-01-01 16:12:00,2016-01-01 11:12:00,12.5,68,73
inactive,2016-01-01 16:12:00,2016-01-01 11:12:00,2016-01-01 16:17:00,2016-01-01 11:17:00,6.6,0,75
light_activity,2016-01-01 16:17:00,2016-01-01 11:17:00,2016-01-01 16:27:00,2016-01-01 11:27:00,33.4,176,98
inactive,2016-01-01 16:27:00,2016-01-01 11:27:00,2016-01-01 17:18:00,2016-01-01 12:18:00,57.7,0,70
light_activity,2016-01-01 17:18:00,2016-01-01 12:18:00,2016-01-01 17:19:00,2016-01-01 12:19:00,2.7,44,94
inactive,2016-01-01 17:19:00,2016-01-01 12:19:00,2016-01-01 17:25:00,2016-01-01 12:25:00,7.2,0,72
light_activity,2016-01-01 17:25:00,2016-01-01 12:25:00,2016-01-01 17:34:00,2016-01-01 12:34:00,21.6,109,90
inactive,2016-01-01 17:34:00,2016-01-01 12:34:00,2016-01-01 17:38:00,2016-01-01 12:38:00,5.2,0,74
light_activity,2016-01-01 17:38:00,2016-01-01 12:38:00,2016-01-01 17:44:00,2016-01-01 12:44:00,19.1,244,96
inactive,2016-01-01 17:44:00,2016-01-01 12:44:00,2016-01-01 17:58:00,2016-01-01 12:58:00,16.1,0,70
light_activity,2016-01-01 17:58:00,2016-01-01 12:58:00,2016-01-01 18:04:00,2016-01-01 13:04:00,18.5,102,93
inactive,2016-01-01 18:04:00,2016-01-01 13:04:00,2016-01-01 18:39:00,2016-01-01 13:39:00,41.3,0,70
light_activity,2016-01-01 18:39:00,2016-01-01 13:39:00,2016-01-01 18:51:00,2016-01-01 13:51:00,40.4,131,94
inactive,2016-01-01 18:51:00,2016-01-01 13:51:00,2016-01-01 19:07:00,2016-01-01 14:07:00,22.2,0,75
light_activity,2016-01-01 19:07:00,2016-01-01 14:07:00,2016-01-01 19:08:00,2016-01-01 14:08:00,3.5,0,102
inactive,2016-01-01 19:08:00,2016-01-01 14:08:00,2016-01-01 19:38:00,2016-01-01 14:38:00,33,0,68
light_activity,2016-01-01 19:38:00,2016-01-01 14:38:00,2016-01-01 19:40:00,2016-01-01 14:40:00,3.8,79,87
moderate_activity,2016-01-01 19:40:00,2016-01-01 14:40:00,2016-01-01 20:20:00,2016-01-01 15:20:00,278.7,3538,118
light_activity,2016-01-01 20:20:00,2016-01-01 15:20:00,2016-01-01 20:26:00,2016-01-01 15:26:00,20.2,45,100
inactive,2016-01-01 20:26:00,2016-01-01 15:26:00,2016-01-01 20:31:00,2016-01-01 15:31:00,8.3,0,85
light_activity,2016-01-01 20:31:00,2016-01-01 15:31:00,2016-01-01 20:36:00,2016-01-01 15:36:00,23,0,105
inactive,2016-01-01 20:36:00,2016-01-01 15:36:00,2016-01-01 20:51:00,2016-01-01 15:51:00,20.7,0,78
light_activity,2016-01-01 20:51:00,2016-01-01 15:51:00,2016-01-01 21:03:00,2016-01-01 16:03:00,50.5,418,104
inactive,2016-01-01 21:03:00,2016-01-01 16:03:00,2016-01-01 21:06:00,2016-01-01 16:06:00,6.3,0,95
light_activity,2016-01-01 21:06:00,2016-01-01 16:06:00,2016-01-01 21:10:00,2016-01-01 16:10:00,13.1,121,98
inactive,2016-01-01 21:10:00,2016-01-01 16:10:00,2016-01-01 21:14:00,2016-01-01 16:14:00,5,0,73
light_activity,2016-01-01 21:14:00,2016-01-01 16:14:00,2016-01-01 21:15:00,2016-01-01 16:15:00,1.3,6,76
inactive,2016-01-01 21:15:00,2016-01-01 16:15:00,2016-01-01 21:18:00,2016-01-01 16:18:00,3.5,0,70
light_activity,2016-01-01 21:18:00,2016-01-01 16:18:00,2016-01-01 21:22:00,2016-01-01 16:22:00,15.4,0,106
inactive,2016-01-01 21:22:00,2016-01-01 16:22:00,2016-01-01 21:25:00,2016-01-01 16:25:00,5.8,0,96
light_activity,2016-01-01 21:25:00,2016-01-01 16:25:00,2016-01-01 21:27:00,2016-01-01 16:27:00,10.9,0,112
inactive,2016-01-01 21:27:00,2016-01-01 16:27:00,2016-01-01 21:47:00,2016-01-01 16:47:00,22.9,0,68
light_activity,2016-01-01 21:47:00,2016-01-01 16:47:00,2016-01-01 21:48:00,2016-01-01 16:48:00,1.1,8,64
inactive,2016-01-01 21:48:00,2016-01-01 16:48:00,2016-01-01 22:09:00,2016-01-01 17:09:00,22.7,0,68
light_activity,2016-01-01 22:09:00,2016-01-01 17:09:00,2016-01-01 22:10:00,2016-01-01 17:10:00,3.7,0,111
inactive,2016-01-01 22:10:00,2016-01-01 17:10:00,2016-01-01 23:02:00,2016-01-01 18:02:00,59.3,0,72
light_activity,2016-01-01 23:02:00,2016-01-01 18:02:00,2016-01-01 23:09:00,2016-01-01 18:09:00,24.3,0,104
inactive,2016-01-01 23:09:00,2016-01-01 18:09:00,2016-01-01 23:14:00,2016-01-01 18:14:00,9.8,0,91
light_activity,2016-01-01 23:14:00,2016-01-01 18:14:00,2016-01-01 23:15:00,2016-01-01 18:15:00,5.7,0,110
inactive,2016-01-01 23:15:00,2016-01-01 18:15:00,2016-01-01 23:30:00,2016-01-01 18:30:00,17.5,0,74
light_activity,2016-01-01 23:30:00,2016-01-01 18:30:00,2016-01-01 23:54:00,2016-01-01 18:54:00,86,730,101
inactive,2016-01-01 23:54:00,2016-01-01 18:54:00,2016-01-01 23:59:00,2016-01-01 18:59:00,8.7,0,87
light_activity,2016-01-01 23:59:00,2016-01-01 18:59:00,2016-01-02 00:13:00,2016-01-01 19:13:00,53.8,135,104
inactive,2016-01-02 00:13:00,2016-01-01 19:13:00,2016-01-02 00:19:00,2016-01-01 19:19:00,7.6,0,78
light_activity,2016-01-02 00:19:00,2016-01-01 19:19:00,2016-01-02 00:32:00,2016-01-01 19:32:00,39.4,134,99
inactive,2016-01-02 00:32:00,2016-01-01 19:32:00,2016-01-02 00:41:00,2016-01-01 19:41:00,12,0,75
light_activity,2016-01-02 00:41:00,2016-01-01 19:41:00,2016-01-02 00:45:00,2016-01-01 19:45:00,13.1,9,101
inactive,2016-01-02 00:45:00,2016-01-01 19:45:00,2016-01-02 00:50:00,2016-01-01 19:50:00,6.7,0,73
light_activity,2016-01-02 00:50:00,2016-01-01 19:50:00,2016-01-02 00:51:00,2016-01-01 19:51:00,3.2,0,99
inactive,2016-01-02 00:51:00,2016-01-01 19:51:00,2016-01-02 00:57:00,2016-01-01 19:57:00,6.8,0,70
light_activity,2016-01-02 00:57:00,2016-01-01 19:57:00,2016-01-02 01:03:00,2016-01-01 20:03:00,13.8,111,94
inactive,2016-01-02 01:03:00,2016-01-01 20:03:00,2016-01-02 01:08:00,2016-01-01 20:08:00,8.2,0,84
light_activity,2016-01-02 01:08:00,2016-01-01 20:08:00,2016-01-02 01:15:00,2016-01-01 20:15:00,26.2,71,103
inactive,2016-01-02 01:15:00,2016-01-01 20:15:00,2016-01-02 01:19:00,2016-01-01 20:19:00,7,0,89
light_activity,2016-01-02 01:19:00,2016-01-01 20:19:00,2016-01-02 01:20:00,2016-01-01 20:20:00,4.3,0,102
inactive,2016-01-02 01:20:00,2016-01-01 20:20:00,2016-01-02 01:27:00,2016-01-01 20:27:00,10.6,0,81
light_activity,2016-01-02 01:27:00,2016-01-01 20:27:00,2016-01-02 01:34:00,2016-01-01 20:34:00,23,181,102
inactive,2016-01-02 01:34:00,2016-01-01 20:34:00,2016-01-02 01:45:00,2016-01-01 20:45:00,13.5,0,76
light_activity,2016-01-02 01:45:00,2016-01-01 20:45:00,2016-01-02 02:00:00,2016-01-01 21:00:00,44.8,380,97
inactive,2016-01-02 02:00:00,2016-01-01 21:00:00,2016-01-02 02:03:00,2016-01-01 21:03:00,4,0,74
light_activity,2016-01-02 02:03:00,2016-01-01 21:03:00,2016-01-02 02:06:00,2016-01-01 21:06:00,6.1,101,88
inactive,2016-01-02 02:06:00,2016-01-01 21:06:00,2016-01-02 02:13:00,2016-01-01 21:13:00,7.7,0,71
light_activity,2016-01-02 02:13:00,2016-01-01 21:13:00,2016-01-02 02:14:00,2016-01-01 21:14:00,1.2,20,71
inactive,2016-01-02 02:14:00,2016-01-01 21:14:00,2016-01-02 04:19:00,2016-01-01 23:19:00,134.5,0,73
light_activity,2016-01-02 04:19:00,2016-01-01 23:19:00,2016-01-02 04:26:00,2016-01-01 23:26:00,27.5,237,107
inactive,2016-01-02 04:26:00,2016-01-01 23:26:00,2016-01-02 04:36:00,2016-01-01 23:36:00,10.8,0,76
light_activity,2016-01-02 04:36:00,2016-01-01 23:36:00,2016-01-02 04:40:00,2016-01-01 23:40:00,9.8,99,94
inactive,2016-01-02 04:40:00,2016-01-01 23:40:00,2016-01-02 08:12:00,2016-01-02 03:12:00,225.8,0,73
light_activity,2016-01-02 08:12:00,2016-01-02 03:12:00,2016-01-02 08:13:00,2016-01-02 03:13:00,5,0,111
inactive,2016-01-02 08:13:00,2016-01-02 03:13:00,2016-01-02 08:56:00,2016-01-02 03:56:00,46.2,0,73
