Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
inactive,2016-02-01 19:51:00,2016-02-01 11:51:00,2016-02-01 20:06:00,2016-02-01 12:06:00,16.9,0,67
light_activity,2016-02-01 20:06:00,2016-02-01 12:06:00,2016-02-01 20:11:00,2016-02-01 12:11:00,16.8,36,98
inactive,2016-02-01 20:11:00,2016-02-01 12:11:00,2016-02-01 20:14:00,2016-02-01 12:14:00,4.1,0,73
light_activity,2016-02-01 20:14:00,2016-02-01 12:14:00,2016-02-01 20:16:00,2016-02-01 12:16:00,6.2,7,94
inactive,2016-02-01 20:16:00,2016-02-01 12:16:00,2016-02-01 20:35:00,2016-02-01 12:35:00,26,0,75
light_activity,2016-02-01 20:35:00,2016-02-01 12:35:00,2016-02-01 20:36:00,2016-02-01 12:36:00,5.1,14,107
inactive,2016-02-01 20:36:00,2016-02-01 12:36:00,2016-02-01 20:42:00,2016-02-01 12:42:00,7.9,0,73
light_activity,2016-02-01 20:42:00,2016-02-01 12:42:00,2016-02-01 20:48:00,2016-02-01 12:48:00,29.6,64,107
inactive,2016-02-01 20:48:00,2016-02-01 12:48:00,2016-02-01 20:53:00,2016-02-01 12:53:00,6.6,0,75
light_activity,2016-02-01 20:53:00,2016-02-01 12:53:00,2016-02-01 20:58:00,2016-02-01 12:58:00,12.8,0,91
inactive,2016-02-01 20:58:00,2016-02-01 12:58:00,2016-02-01 21:01:00,2016-02-01 13:01:00,3.5,0,73
light_activity,2016-02-01 21:01:00,2016-02-01 13:01:00,2016-02-01 21:15:00,2016-02-01 13:15:00,52.3,533,97
inactive,2016-02-01 21:15:00,2016-02-01 13:15:00,2016-02-01 21:20:00,2016-02-01 13:20:00,5.9,0,70
light_activity,2016-02-01 21:20:00,2016-02-01 13:20:00,2016-02-01 21:30:00,2016-02-01 13:30:00,44,241,104
inactive,2016-02-01 21:30:00,2016-02-01 13:30:00,2016-02-01 21:33:00,2016-02-01 13:33:00,4,0,76
light_activity,2016-02-01 21:33:00,2016-02-01 13:33:00,2016-02-01 21:40:00,2016-02-01 13:40:00,26,0,101
inactive,2016-02-01 21:40:00,2016-02-01 13:40:00,2016-02-01 21:43:00,2016-02-01 13:43:00,3.7,0,73
light_activity,2016-02-01 21:43:00,2016-02-01 13:43:00,2016-02-01 22:03:00,2016-02-01 14:03:00,92.8,772,104
inactive,2016-02-01 22:03:00,2016-02-01 14:03:00,2016-02-01 22:08:00,2016-02-01 14:08:00,5.6,0,68
light_activity,2016-02-01 22:08:00,2016-02-01 14:08:00,2016-02-01 22:12:00,2016-02-01 14:12:00,8.9,57,86
inactive,2016-02-01 22:12:00,2016-02-01 14:12:00,2016-02-01 22:31:00,2016-02-01 14:31:00,22,0,70
